날짜,발표처,제목,웹주소
2016-07-19,뉴스플러스,[기자의 시각] '한국형 포켓몬 고'는 안 된다,=HYPERLINK("http://premium.chosun.com/site/data/html_dir/2016/07/19/2016071900369.html")
2016-07-19,한겨레,'알파고시대' 대안은 기본소득?…정부 부처 정치권도 '열공' 중,=HYPERLINK("http://www.hani.co.kr/arti/society/society_general/752864.html")
2016-07-19,디오데오,국내연구진 식도암 진단·치료 방사성의약품 세계최초 개발,=HYPERLINK("http://www.diodeo.com/news/view/1708120")
2016-07-19,아시아경제,韓 국제핵융합실험로 수주 5000억 원 넘었다,=HYPERLINK("http://www.asiae.co.kr/news/view.htm?idxno=2016071910313608950")
2016-07-19,시사비즈 (풍자),NICE신용평가 SK브로드밴드 신용등급 전망 하향 예고,=HYPERLINK("http://www.sisabiz.com/biz/article/155515")
2016-07-19,자유아시아방송,북 컴퓨터사용 단속 더욱 강화,=HYPERLINK("http://www.rfa.org/korean/weekly_program/nk_now/nktoday-07182016103322.html")
2016-07-19,디지털타임스,미래성장동력 분야서 표준특허 찾는다,=HYPERLINK("http://www.dt.co.kr/contents.html?article_no=2016071902101876731001")
2016-07-19,전자신문,경기정보보호지원센터 언제 문여나..32만개 중소기업 발동동,=HYPERLINK("http://www.etnews.com/20160718000250")
2016-07-19,뉴시스,청소년 여성가족부 일일 공무원 체험,=HYPERLINK("http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160719_0014230362&cID=10201&pID=10200")
2016-07-19,전자신문,한국형 우주발사체 개발 차질,=HYPERLINK("http://www.etnews.com/20160715000308?koost=hotnews")
2016-07-19,한국대학신문,미방위 뭐하나 R&D정책 사실상 '외면',=HYPERLINK("http://news.unn.net/news/articleView.html?idxno=161401")
2016-07-19,아이뉴스24,나도 모르게 내 계좌가 보이스피싱에 쓰였다면?,=HYPERLINK("http://news.inews24.com/php/news_view.php?g_serial=969365&g_menu=022400")
2016-07-19,매일경제,[통신서비스] 공정위 최종 불허 결정 유지. 유료방송업에 어둠이 깃들다,=HYPERLINK("http://vip.mk.co.kr/newSt/news/news_view2.php?t_uid=6&c_uid=31948&sCode=12")
2016-07-19,아시아투데이,SKT-CJHV 'M&A 불발'…케이블 TV 업계 '탄식',=HYPERLINK("http://www.asiatoday.co.kr/view.php?key=20160718010008369")
2016-07-19,디오데오,인천경제자유구역 '글로벌 경제 전진기지' 선언,=HYPERLINK("http://www.diodeo.com/news/view/1708413")
2016-07-19,매일경제,[통신서비스] 공정위의 SKT와 CJ헬로비전 인수합병 최종 불허 그 후,=HYPERLINK("http://vip.mk.co.kr/newSt/news/news_view2.php?t_uid=6&c_uid=31957&sCode=12")
2016-07-19,뉴시스,유엔 英·獨에 파리 기후변화협약 정신 저버려,=HYPERLINK("http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160718_0014228724&cID=10101&pID=10100")
2016-07-19,플래텀,[Startup's Story #268] 야놀자가 호텔나우를 인수한 이유는?,=HYPERLINK("http://platum.kr/archives/63427")
2016-07-19,코리아쉬핑가제트,국토부 '2016 물류 새싹기업 경진대회' 개최,=HYPERLINK("http://www.ksg.co.kr/news/main_newsView.jsp?bbsID=news&pNum=109321&bbsCategory=KSG&backUrl=news_list&categoryCode=XHJ")
2016-07-19,뉴스앤조이,성경이 말하는 '잘됨'이란?,=HYPERLINK("http://www.newsnjoy.or.kr/news/articleView.html?idxno=204698")
2016-07-19,더스쿠프,행복한 1인자 되기   정주영의 발 로저스의 눈,=HYPERLINK("http://www.thescoop.co.kr/news/articleView.html?idxno=20769")
2016-07-19,서울신문,2030세대 76% “돈·인맥 있어야 성공” 5060세대 38% “열정과 노력이 ...,=HYPERLINK("http://www.seoul.co.kr/news/newsView.php?id=20160719001011")
2016-07-19,동아일보,외국까지 소문난 체험휴양마을… 농촌 발전 효과 톡톡,=HYPERLINK("http://travel.donga.com/3/all/20160718/79264727/1")
2016-07-19,JTBC,[탐사플러스] 지도 데이터 논란…제국주의냐 쇄국주의냐,=HYPERLINK("http://news.jtbc.joins.com/html/577/NB11274577.html")
2016-07-19,이데일리,[비즈인터뷰]①“한국 IT 아직 갈 길 멀어...'질적 빅3' 될 것,=HYPERLINK("http://www.edaily.co.kr/news/newspath.asp?newsid=01380886612716160")
2016-07-19,데일리환경,19일 CCS 전문가들 모여 '환경포럼' 개최,=HYPERLINK("http://www.dailyt.co.kr/news/articleView.html?idxno=7504")
2016-07-19,경기일보,SKT-CJ헬로비전 합병 불허로 케이블TV업계 '사면초가'…공정위 “양사 ...,=HYPERLINK("http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1208622&sc_code=&page=11&total=150019")
2016-07-19,Korea Daily,[정보화진흥원 좌담회]인공지능 시대 우리가 나아갈 방향은?,=HYPERLINK("http://www.koreadaily.com/news/read.asp?art_id=4444893")
2016-07-19,충청투데이,자유의 대가,=HYPERLINK("http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=991247")
2016-07-19,NSP통신,목포 관광 1번지 유달산 둘레길 '산·숲·섬' 서해안 절경 한눈에,=HYPERLINK("http://www.nspna.com/news/?mode=view&newsid=180098")
2016-07-19,디지틀보사,SCL 헬스케어그룹 한·중 헬스케어 분야 선두주자 활약,=HYPERLINK("https://www.bosa.co.kr/umap/sub.asp?news_pk=606966")
2016-07-19,이투데이,법원 '주가조작 의혹' CNK인터내셔널 상장폐지 정당,=HYPERLINK("http://www.etoday.co.kr/news/section/newsview.php?idxno=1358768")
2016-07-19,국토일보,APEC 기후센터 아시아개발은행과 공동사업 발굴한다,=HYPERLINK("http://www.ikld.kr/news/articleView.html?idxno=59377")
2016-07-19,트래블바이크뉴스,'원숭이 비하' 전 맨유 마케다... 'K리그'로 11억?,=HYPERLINK("http://www.travelnbike.com/news/articleView.html?idxno=22580")
2016-07-19,이데일리,전 세계 2500만부 '살아남기 시리즈' 아이디어 공모,=HYPERLINK("http://www.edaily.co.kr/news/NewsRead.edy?newsid=02036886612716160&SCD=JI31&DCD=A403")
2016-07-19,헤럴드경제,SGI서울보증 우리은행과 베트남 모기지시장 진출,=HYPERLINK("http://biz.heraldcorp.com/view.php?ud=20160719000019")
2016-07-19,중앙일보,부산-런던 새로운 경제협력관계 물꼬 텄다,=HYPERLINK("http://news.joins.com/article/20324755")
2016-07-19,서울파이낸스,대한상의 몽골서 '한-몽골 비즈니스 포럼' 개최,=HYPERLINK("http://www.seoulfn.com/news/articleView.html?idxno=257201")
2016-07-19,천지일보,[대구] 수성구보건소 '100세 건강대학' 졸업식 가져,=HYPERLINK("http://www.newscj.com/news/articleView.html?idxno=363219")
2016-07-19,국민일보,조선시대 UFO목격 사건 조선에 온 명나라 흑인병사 등 기록 조선왕조 ...,=HYPERLINK("http://news.kmib.co.kr/article/view.asp?arcid=0010790304&code=61121111&sid1=soc")
2016-07-19,디지털타임스,`신성장 테마` 골라담은 NH투자 ETN 잘나가네,=HYPERLINK("http://www.dt.co.kr/contents.html?article_no=2016071902100658815001")
2016-07-19,뉴스핌 (회원가입),퍼시스그룹 하계 인턴 및 경력사원 공개채용,=HYPERLINK("http://www.newspim.com/news/view/20160718000261")
2016-07-19,군산미래신문,군산초 에어로빅부 교육감배 우승 축포,=HYPERLINK("http://www.kmrnews.com/ynews/ynews_view.php?code=NS05&pid=44995")
